Index,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
351,Ohio, USA,#WhiteLivesMatter,Sun Jun 21 11:55:43 +0000 2020,40.35181636212625,-82.80448712624585,#e6194B,549.1569767441861,11432.45265780731,1
355,Pennsylvania, USA,#redpill,Sun Jun 21 12:11:41 +0000 2020,40.62121128472223,-77.63372887731481,#3cb44b,782.3564814814815,9051.620949074075,1
356,New York, USA,#redpill,Sun Jun 21 12:11:32 +0000 2020,42.11192215013902,-75.02628554216868,#3cb44b,970.2613531047266,35076.80815569972,1
357,Pigeon Forge, TN,#redpill,Sun Jun 21 12:09:20 +0000 2020,35.7977,-83.5623,#3cb44b,180.0,6238.0,1
358,South Carolina, USA,#redpill,Sun Jun 21 12:08:25 +0000 2020,34.02741446700507,-81.11013807106599,#3cb44b,310.6446700507614,11497.964467005077,2
363,South Carolina, USA,#redpill,Sun Jun 21 12:01:23 +0000 2020,34.02741446700507,-81.11013807106599,#3cb44b,310.6446700507614,11497.964467005077,2
366,Indiana, USA,#redpill,Sun Jun 21 11:55:03 +0000 2020,39.980345575221236,-86.28141401179941,#3cb44b,507.0575221238938,9087.176991150442,1
367,Los Angeles, CA,#redpill,Sun Jun 21 11:54:34 +0000 2020,34.1139,-118.4068,#3cb44b,3295.0,12815475.0,1
368,Chicago, IL,#redpill,Sun Jun 21 11:53:31 +0000 2020,41.8373,-87.6862,#3cb44b,4612.0,8675982.0,1
369,Massachusetts, USA,#redpill,Sun Jun 21 11:51:45 +0000 2020,42.08924751773049,-71.18091205673758,#3cb44b,1008.886524822695,63636.99290780142,1
371,Tonawanda, NY,#redpill,Sun Jun 21 11:50:40 +0000 2020,43.0105,-78.8805,#3cb44b,1513.0,14904.0,1
373,Ohio, USA,#redpill,Sun Jun 21 11:48:58 +0000 2020,40.35181636212625,-82.80448712624585,#3cb44b,549.1569767441861,11432.45265780731,1
375,Florida, USA,#redpill,Sun Jun 21 11:46:59 +0000 2020,28.1400878021978,-82.12263065934067,#3cb44b,927.0826373626373,33241.92747252747,1
376,North Carolina, USA/ Seoul,#redpill,Sun Jun 21 11:46:12 +0000 2020,35.439809510869566,-79.32081358695652,#3cb44b,296.32065217391306,12504.385869565218,1
377,Kentucky, USA,#redpill,Sun Jun 21 11:42:50 +0000 2020,37.77555102420857,-85.40921098696461,#3cb44b,543.3631284916202,6122.7597765363125,1
379,Texas, USA,#redpill,Sun Jun 21 11:37:11 +0000 2020,30.65436949941793,-97.80444208381839,#3cb44b,467.07974388824215,19220.278230500582,1
380,Georgia, USA,#redpill,Sun Jun 21 11:36:57 +0000 2020,32.96564403225806,-83.57147564516129,#3cb44b,315.7548387096774,17340.274193548386,1
